SQL>
SQL> select di.owner
  2       , di.table_name
  3       , di.index_name
  4       , di.index_type
  5       , di.uniqueness
  6       , di.num_rows
  7       , di.sample_size
  8       , di.last_analyzed
  9       , di.global_stats
 10       , di.initial_extent
 11       , di.max_extents
 12       , di.next_extent
 13    from user_tables ut
 14         inner join dba_indexes di on di.table_name = ut.table_name
 15  ;

OWNER                          TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
------------------------------ ------------------------------ ------------------------------ --------------------------- --------- ---------- ----------- --------- --- -------------- ----------- -----------
STORELAND                      CONSO_STAT5                    CONSO_STAT5_PK                 NORMAL                      UNIQUE      12138116      124537 23-OCT-17 YES       11534336  2147483645     1048576
STORELAND                      PUISSANCES_ASSORT_MAG          PUISSANCE_ASSORT_MAG_FK1       NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      PUISSANCES_ASSORT_MAG          PUISSANCES_ASSORT_MAG_PK       NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      TEMPS_TRAITEMENT_RCPQUAI       TEMPS_TRAITEMENT_RCPQUAI_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      TFJ_ACTION_MARK_MAGASIN_LOCK   SYS_C0064399                   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      TFJ_INTEG_AUTO_MAGASIN_LOCK    SYS_C0065501                   NORMAL                      UNIQUE             0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      TFJ_REASSORT_MAGASIN_LOCK      SYS_C0064402                   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      LIGNES_PERIMETRE_ACTION_MKT    LIGNES_PERIMETRE_ACTION_MKT_PK NORMAL                      UNIQUE           658         658 07-JUN-17 YES         327680  2147483645     1048576
STORELAND                      CODES_MATIERE                  CODES_MATIERE_PK               NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
