SQL> select at.table_name, at.status, at.num_rows, at.last_analyzed , atc.data_type
  2       , ai.index_name, ai.index_type, ai.uniqueness, ai.leaf_blocks, ai.distinct_keys, ai.status as i_status, ai.last_analyzed as i_last_analyzed, ai.global_stats
  3       , aic.column_name, aic.column_position
  4    from all_tables at
  5         inner join all_indexes ai on ai.table_name = at.table_name
  6         inner join all_ind_columns aic on aic.index_name = ai.index_name
  7         inner join all_tab_columns atc on atc.table_name = aic.table_name and atc.column_name = aic.column_name
  8   where at.owner  in ( 'STORELAND' )
  9     ---and at.table_name in ('LBM_VENTE_POSTE', 'LBM_CP_HISTO')
 10   order by at.table_name, ai.index_name, aic.column_position
 11  ;
TABLE_NAME                     STATUS     NUM_ROWS LAST_ANAL DATA_TYPE                      INDEX_NAME                     INDEX_TYPE                     UNIQUENES LEAF_BLOCKS DISTINCT_KEYS I_STATUS I_LAST_AN GLO COLUMN_NAME                    COLUMN_POSITION
------------------------------ -------- ---------- --------- ------------------------------ ------------------------------ ------------------------------ --------- ----------- ------------- -------- --------- --- ------------------------------ ---------------
ACCUEIL_INTRANET_NEG           VALID             0 01-JUN-14 NUMBER                         ACCUEIL_INTRANET_NEG_PK        NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEACCUEILINTRANET                          1
ACCUEIL_LANGUE_INTRANET_NEG    VALID             0 01-JUN-14 NUMBER                         ACCUEIL_LANGUE_INTRANET_NEG_PK NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEACCUEILINTRANET                          1
ACCUEIL_LANGUE_INTRANET_NEG    VALID             0 01-JUN-14 NUMBER                         ACCUEIL_LANGUE_INTRANET_NEG_PK NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODELANGUE                                   2
ACTIONS_MARKETING              VALID           134 07-JUN-17 NUMBER                         ACTION_MARKETING_PK            NORMAL                         UNIQUE              1           134 VALID    07-JUN-17 YES CODEACTIONMARKETING                          1
ADRESSAGE_TROLLEY_RADIO        VALID             0 01-JUN-14 NUMBER                         ADRESSAGE_TROLLEY_RADIO_FK1    NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEDEPOT                                    1
ADRESSAGE_TROLLEY_RADIO        VALID             0 01-JUN-14 NUMBER                         ADRESSAGE_TROLLEY_RADIO_FK1    NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEUTILISATEUR                              2
ADRESSAGE_TROLLEY_RADIO        VALID             0 01-JUN-14 NUMBER                         ADRESSAGE_TROLLEY_RADIO_FK1    NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEINTERNEEMPLACEMENT                       3
ADRESSAGE_TROLLEY_RADIO        VALID             0 01-JUN-14 DATE                           ADRESSAGE_TROLLEY_RADIO_FK1    NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES DATEDEBUTTRAITEMENT                          4
ADRESSAGE_TROLLEY_RADIO        VALID             0 01-JUN-14 NUMBER                         ADRESSAGE_TROLLEY_RADIO_PK     NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODEADRESSAGE                                1
ADRESSES_CLIENT                VALID        697458 23-OCT-17 VARCHAR2                       ADRESSES_CLIENT_FK1            NORMAL                         NONUNIQUE        2143         21781 VALID    23-OCT-17 YES CODEPOSTAL                                   1
ADRESSES_CLIENT                VALID        697458 23-OCT-17 VARCHAR2                       ADRESSES_CLIENT_FK2            NORMAL                         NONUNIQUE         455         25124 VALID    23-OCT-17 YES MATCHCODELIBELLEVOIE                         1
ADRESSES_CLIENT                VALID        697458 23-OCT-17 NUMBER                         ADRESSES_CLIENT_PK             NORMAL                         UNIQUE           1843        697458 VALID    23-OCT-17 YES CODEADRESSECLIENT                            1
ADRESSES_CLIENT_NEG            VALID             0 01-JUN-14 VARCHAR2                       ADRESSE_CLIENT_NEG_PK          NORMAL                         UNIQUE              0             0 VALID    01-JUN-14 YES CODECLIENTNEG                                1
