SQL>
SQL> select di.owner
  2       , dic.column_name
  3       , dic.column_position
  4       , di.table_name
  5       , di.index_name
  6       , di.index_type
  7       , di.uniqueness
  8       , di.num_rows
  9       , di.sample_size
 10       , di.last_analyzed
 11       , di.global_stats
 12       , di.initial_extent
 13       , di.max_extents
 14       , di.next_extent
 15    from user_tables ut
 16         inner join dba_indexes di on di.table_name = ut.table_name
 17         inner join dba_ind_columns dic on dic.index_name = di.index_name
 18   --where ut.table_name like 'LBM_CLIENT_TOP'
 19  ;

OWNER                          COLUMN_NAME                    COLUMN_POSITION TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
------------------------------ ------------------------------ --------------- ------------------------------ ------------------------------ --------------------------- --------- ---------- ----------- --------- --- -------------- ----------- -----------
STORELAND                      CODEDEPOT                                    1 HISTO_MVTS_STOCK_DEPOT_COMP    HISTO_MVTS_STOCK_DEPOT_COMP_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECLASSPROD1                               2 HISTO_MVTS_STOCK_DEPOT_COMP    HISTO_MVTS_STOCK_DEPOT_COMP_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEINTERNECOMPOSANT                         3 HISTO_MVTS_STOCK_DEPOT_COMP    HISTO_MVTS_STOCK_DEPOT_COMP_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      DATEMOUVEMENT                                4 HISTO_MVTS_STOCK_DEPOT_COMP    HISTO_MVTS_STOCK_DEPOT_COMP_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEMVTSTOCKDEPOT                            5 HISTO_MVTS_STOCK_DEPOT_COMP    HISTO_MVTS_STOCK_DEPOT_COMP_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEEVENEMENT                                6 HISTO_MVTS_STOCK_DEPOT_COMP    HISTO_MVTS_STOCK_DEPOT_COMP_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      TYPEEVENEMENTDEPOT                           7 HISTO_MVTS_STOCK_DEPOT_COMP    HISTO_MVTS_STOCK_DEPOT_COMP_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      NUMEROLIGNE                                  8 HISTO_MVTS_STOCK_DEPOT_COMP    HISTO_MVTS_STOCK_DEPOT_COMP_PK NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEINTERNEARTICLE                           1 HISTO_MVTS_STOCK_MAG           HISTO_MVTS_STOCK_MAG_FK1       NORMAL                      NONUNIQUE     438073       52268 30-OCT-17 YES       22020096  2147483645     1048576
