STORELAND.Table_name                        Rows_count
ACCUEIL_INTRANET_NEG                                 0
ACCUEIL_LANGUE_INTRANET_NEG                          0
ACTIONS_MARKETING                                  143
ADRESSAGE_TROLLEY_RADIO                              0
ADRESSES_CLIENT                                700,020
ADRESSES_CLIENT_NEG                                  0
ADRESSES_CLIENT_PFL                            162,904
ADRESSES_FOURNISSEUR                                 1
ADRESSES_MAGASIN                                   650
ADRESSES_SITE                                        3
ADRESSES_SOCIETE                                     1
ADRESSES_WST                                   215,012
AFFILIE_ARTICLE_EXCLU                                0
AFFILIE_COMMISSION                                   0
AFFILIE_FACTURE_DETAIL                               0
AFFILIE_FACTURE_PERIODE                              0
AFFILIE_MAGASIN                                      0
AFFILIE_TYPE_FACTURATION                             0
AGREGAT_TICKET_VENTE                         2,133,070
AGREGAT_TICKET_VENTE_TMP                     1,000,763
AG_                                              9,392
AG_TMP                                           3,690
AIF_CLASSPROD3_CORRESP                               0
AIF_COMPTA_MAG                                       0
AIF_FOURNISSEURS                                     0
AIF_IMPRIMANTES_MAGASINS                             0
AIF_LIGNES_CDE_TRAITEES                              0
AIF_MAGASIN_LANGUES                                  0
AIF_ZONE_TAXATION                                    0
ANNULE_VENTE_TMP                                     0
ANOMALIES_RECEPTION_DEPOT                            0
ARRET_REASSORT_MAGASIN                               0
ARRET_REASSORT_MAGASIN_JOUR                          0
ARRET_REASSORT_PRODUIT_JOUR                          0
ARRET_REASSORT_SECTEUR                               0
ARTICLES                                     5,959,465
ARTICLES_AUTRES_DONNEES                              0
ARTICLES_FOURNISSEURS                                0
ARTICLES_NO_SERIE                                    0
ARTICLE_FF_PRIX                                    249
ART_PAS_DESC_TABLE2                                  0
ASSOCIATIONS_CLASSPROD_MARQUE                        5
ASSOCIATIONS_ENSEIGNE_MARQUE                         6
ASSOCIATIONS_PRODUITS                                0
AUTRES_MVT_POINTS_FIDELITE                           0
AVOIRS_NEG                                           0
AXES_STATISTIQUES                                    3
AXES_STATISTIQUES_CLIENTS                           92
AXES_STATISTIQUES_CLIENTS_D                          0
AXES_STATISTIQUE_CLASSPROD                           0
BACKUP_CLIENTS_GPE_MAGASIN                     124,548
BACKUP_LBM_ARTICLE                           1,499,934
BACKUP_LBM_TARIF                             2,058,736
BACKUP_STATS_CLIENTS_BCH_21_12                 346,956
BACKUP_TMP_ECARTCARTE                              298
BANQUES_LC                                           0
BASCULE_CORRESPONDANCE_CLIENT                        0
BCH_ECART_PRIX                                  69,486
BESOINS_REASSORT                                     0
BONS_PRET                                            0
BOUTONS_UTILISATEUR                                242
BO_ACCESMAGASIN                                    236
BO_ETATS                                             0
BO_ETATS_UTILISATEURS                                0
BO_FACTURES_CLIENT                                   0
BUDGET_ACHATS                                        0
CADRAGE_BUDGET_POIDSCLASSPROD                        0
CADRAGE_PLAN_COLLECTION                              0
CAISSES                                            409
CAISSES_DESC_PERIPH                                  9
